path	bigsmiles	canonical_bigsmiles
PolymerLit-MT_processed/111.corrected.mol	{[][$]CC(OCC(C)C)[$][]}	{[][>]CC(OCC(C)C)[<],[>]C(OCC(C)C)C[<][]}
PolymerLit-MT_processed/112.corrected.mol	{[][$]CC(C(=O)OCC)[$][]}	{[][>]CC(C(OCC)=O)[<],[>]C(C(OCC)=O)C[<][]}
PolymerLit-MT_processed/113.corrected.mol	{[][$]CC(OC(C)CC)[$][]}	{[][>]CC(OC(CC)C)[<],[>]C(OC(CC)C)C[<][]}
PolymerLit-MT_processed/114.corrected.mol	{[][$]CC(C(=O)OC(C)CC)[$][]}	{[][>]CC(C(OC(CC)C)=O)[<],[>]C(C(OC(CC)C)=O)C[<][]}
PolymerLit-MT_processed/115.corrected.mol	{[][$]CC(OCC)[$][]}	{[][>]CC(OCC)[<],[>]C(OCC)C[<][]}
PolymerLit-MT_processed/116.corrected.mol	{[][$]CC(C(=O)OC(CC)CC)[$][]}	{[][>]CC(C(OC(CC)CC)=O)[<],[>]C(C(OC(CC)CC)=O)C[<][]}
PolymerLit-MT_processed/117.corrected.mol	{[][$]CC(CCC(C)C)[$][]}	{[][>]CC(CCC(C)C)[<],[>]C(CCC(C)C)C[<][]}
PolymerLit-MT_processed/118.corrected.mol	{[][<]CC(CCl)(CCl)CO[>][]}	{[][>]OCC(CCl)(CCl)C[<][]}
PolymerLit-MT_processed/119.corrected.mol	{[][<]CCCC(C)(C1=CC=C(N(C)C)C=C1)[>][]}	{[][>]CCCC(C)(c(cc1)ccc1N(C)C)[<][]}
PolymerLit-MT_processed/12.corrected.mol	{[][$]{[$][$]C(F)(F)C(F)(F)[$][$]}C(F)(CC(F)(F)C(C(F)(F)F)OC(F)(F)C(F)(F)S(=O)(=O)[O-1])C(F)(O)[$][]}	{[][>3]C(F)(F)C(F)(F)[<3],[>3]C(F)(CC(C(OC(C(S(=O)(=O)[O-])(F)F)(F)F)C(F)(F)F)(F)F)C(F)(O)[<3],[>1]C(F)(O)C(F)(CC(C(OC(C(S(=O)(=O)[O-])(F)F)(F)F)C(F)(F)F)(F)F)[<1],[>3][<1],[>1][<3],[>1]C(F)(O)C(F)(CC(C(OC(C(S(=O)(=O)[O-])(F)F)(F)F)C(F)(F)F)(F)F)C(F)(F){[<][>]C(F)(F)C(F)(F)[<][>]}C(F)(F)[<1][]}
PolymerLit-MT_processed/120.corrected.mol	{[][$]CC(C=C)[$][]}	{[][>]CC(C=C)[<],[>]C(C=C)C[<][]}
PolymerLit-MT_processed/121.corrected.mol	{[][$]CC(OC(C)C)[$][]}	{[][>]CC(OC(C)C)[<],[>]C(OC(C)C)C[<][]}
PolymerLit-MT_processed/122.corrected.mol	{[][<]OCCOC(=O)CCC(=O)[>][]}	{[][>]OCCOC(=O)CCC(=O)[<][]}
PolymerLit-MT_processed/123.corrected.mol	{[][$]CC(SC)[$][]}	{[][>]CC(SC)[<],[>]C(SC)C[<][]}
PolymerLit-MT_processed/124.corrected.mol	{[][<][Si](C1=CC=CC=C1)(C1=CC=CC=C1)O[Si](C)(C)C1=CC=C(C=C1)[Si](C)(C)O[>][]}	{[][>][Si](c(cc2)ccc2)(c(cc2)ccc2)O[Si](C)(C)c(cc1)ccc1[Si](C)(C)O[<][]}
PolymerLit-MT_processed/125.corrected.mol	{[][$]CC(OC(=O)CCC)[$][]}	{[][>]CC(OC(CCC)=O)[<],[>]C(OC(CCC)=O)C[<][]}
PolymerLit-MT_processed/126.corrected.mol	{[][$]CC(C1=CC=C(COCCCCCC)C=C1)[$][]}	{[][>]CC(c(cc2)ccc2COCCCCCC)[<],[>]C(c(cc1)ccc1COCCCCCC)C[<][]}
PolymerLit-MT_processed/127.corrected.mol	{[][$]CC(C1=CC=C(CCCC)C=C1)[$][]}	{[][>]CC(c(cc2)ccc2CCCC)[<],[>]C(c(cc1)ccc1CCCC)C[<][]}
PolymerLit-MT_processed/128.corrected.mol	{[][$]CC(C(=O)OC)[$][]}	{[][>]CC(C(OC)=O)[<],[>]C(C(OC)=O)C[<][]}
PolymerLit-MT_processed/129.corrected.mol	{[][$]CC(OC(=O)CC)[$][]}	{[][>]CC(OC(CC)=O)[<],[>]C(OC(CC)=O)C[<][]}
PolymerLit-MT_processed/13.corrected.mol	{[][$]C=1NC(=CC1)C1=CC=C(N1)[$][]}	{[][$]C=1NC(=CC1)C1=CC=C(N1)[$][]}
PolymerLit-MT_processed/130.corrected.mol	{[][$]CC(C)(C(=O)OCC(CC)CC)[$][]}	{[][>]CC(C)(C(OCC(CC)CC)=O)[<],[>]C(C)(C(OCC(CC)CC)=O)C[<][]}
PolymerLit-MT_processed/131.corrected.mol	{[][$]CC(C1=CC=CC=C1OCCCCCCCC)[$][]}	{[][>]CC(c(ccc2)c(c2)OCCCCCCCC)[<],[>]C(c(ccc1)c(c1)OCCCCCCCC)C[<][]}
PolymerLit-MT_processed/132.corrected.mol	{[][$]CC(C)(C(=O)OCCOC)[$][]}	{[][>]CC(C)(C(OCCOC)=O)[<],[>]C(C)(C(OCCOC)=O)C[<][]}
PolymerLit-MT_processed/133.corrected.mol	{[][$]CC(C1=CC=C(COCCC)C=C1)[$][]}	{[][>]CC(c(cc2)ccc2COCCC)[<],[>]C(c(cc1)ccc1COCCC)C[<][]}
PolymerLit-MT_processed/134.corrected.mol	{[][$]CC1=C(CC)C=C(C=C1)C[$][]}	{[][>]Cc(cc1)cc(CC)c1C[<],[>]Cc(c(c2)CC)ccc2C[<][]}
PolymerLit-MT_processed/135.corrected.mol	{[][$]CC(C(F)(F)F)[$][]}	{[][>]CC(C(F)(F)F)[<],[>]C(C(F)(F)F)C[<][]}
PolymerLit-MT_processed/136.corrected.mol	{[][$]CC(CC(C)C)[$][]}	{[][>]CC(CC(C)C)[<],[>]C(CC(C)C)C[<][]}
PolymerLit-MT_processed/137.corrected.mol	{[][$]CC(OC=O)[$][]}	{[][>]CC(OC=O)[<],[>]C(OC=O)C[<][]}
PolymerLit-MT_processed/138.corrected.mol	{[][$]CC(OC(=O)CCl)[$][]}	{[][>]CC(OC(=O)CCl)[<],[>]C(OC(=O)CCl)C[<][]}
PolymerLit-MT_processed/139.corrected.mol	{[][$]CC(C)(C(=O)OCC(C)(C)C)[$][]}	{[][>]CC(C)(C(OCC(C)(C)C)=O)[<],[>]C(C)(C(OCC(C)(C)C)=O)C[<][]}
PolymerLit-MT_processed/14.corrected.mol	{[][$]C1=CC=C(S1)[$][]}	{[][>]c(cc1)sc1[<][]}
PolymerLit-MT_processed/140.corrected.mol	{[][$]CC(C)(C(=O)OCCC)[$][]}	{[][>]CC(C)(C(OCCC)=O)[<],[>]C(C)(C(OCCC)=O)C[<][]}
PolymerLit-MT_processed/141.corrected.mol	{[][<]NCCCCCCCCCCCC(=O)[>][]}	{[][>]NCCCCCCCCCCCC(=O)[<][]}
PolymerLit-MT_processed/142.corrected.mol	{[][<]CCC[Si](C1=CC=C(C)C=C1)(C1=CC=C(C)C=C1)[>][]}	{[][>][Si](c(cc1)ccc1C)(c(cc1)ccc1C)CCC[<][]}
PolymerLit-MT_processed/143.corrected.mol	{[][$]CC(CCC1CCCCC1)[$][]}	{[][>]CC(CCC(CC2)CCC2)[<],[>]C(CCC(CC1)CCC1)C[<][]}
PolymerLit-MT_processed/144.corrected.mol	{[][$]CC(C(F)(F)C(F)(F)F)[$][]}	{[][>]CC(C(C(F)(F)F)(F)F)[<],[>]C(C(C(F)(F)F)(F)F)C[<][]}
PolymerLit-MT_processed/145.corrected.mol	{[][$]CC(C(=O)OC(C)(C)C)[$][]}	{[][>]CC(C(OC(C)(C)C)=O)[<],[>]C(C(OC(C)(C)C)=O)C[<][]}
PolymerLit-MT_processed/146.corrected.mol	{[][<]CC(COC1=CC=CC=C1)O[>],[<]C(COC1=CC=CC=C1)CO[>][]}	{[][>]OCC(COc(cc2)ccc2)[<],[>]OC(COc(cc1)ccc1)C[<][]}
PolymerLit-MT_processed/147.corrected.mol	{[][$]CC(F)(C(F)(F)F)[$][]}	{[][>]CC(F)(C(F)(F)F)[<],[>]C(F)(C(F)(F)F)C[<][]}
PolymerLit-MT_processed/148.corrected.mol	{[][<]OC1=CC(=CC=C1)[>][]}	{[][>]c(ccc1)cc1O[<][]}
PolymerLit-MT_processed/149.corrected.mol	{[][$]CC(C(=O)NCCCC)[$][]}	{[][>]CC(C(NCCCC)=O)[<],[>]C(C(NCCCC)=O)C[<][]}
PolymerLit-MT_processed/15.corrected.mol	{[][$]C1=C2C(OCCO2)=C(S1)[$][]}	{[][>]c(c(c1OC2)OC2)sc1[<][]}
PolymerLit-MT_processed/150.corrected.mol	{[][$]CC(OC(=O)C(F)(F)F)[$][]}	{[][>]CC(OC(C(F)(F)F)=O)[<],[>]C(OC(C(F)(F)F)=O)C[<][]}
PolymerLit-MT_processed/151.corrected.mol	{[][<]CC1CC(OC(CCC)O1)[>][]}	{[][>]CC(OC(CCC)O1)CC1[<][]}
PolymerLit-MT_processed/152.corrected.mol	{[][<]OCCOC(=O)C1=CC(=CC=C1)C(=O)[>][]}	{[][>]OCCOC(=O)c(ccc1)cc1C(=O)[<][]}
PolymerLit-MT_processed/153.corrected.mol	{[][<]CCC[Si](C1=CC=C(N(C)C)C=C1)(C1=CC=CC=C1)[>][]}	{[][>][Si](c(cc1)ccc1)(c(cc1)ccc1N(C)C)CCC[<][]}
PolymerLit-MT_processed/154.corrected.mol	{[][$]CC(C1=CC=C(OCCC(C)C)C=C1)[$][]}	{[][>]CC(c(cc2)ccc2OCCC(C)C)[<],[>]C(c(cc1)ccc1OCCC(C)C)C[<][]}
PolymerLit-MT_processed/155.corrected.mol	{[][$]CC(C(F)(F)C(F)(F)C(F)(F)F)[$][]}	{[][>]CC(C(C(C(F)(F)F)(F)F)(F)F)[<],[>]C(C(C(C(F)(F)F)(F)F)(F)F)C[<][]}
PolymerLit-MT_processed/156.corrected.mol	{[][<][Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC(=CC=C1)O[>][]}	{[][>][Si](c(cc2)ccc2)(c(cc2)ccc2)c(ccc1)cc1O[<][]}
PolymerLit-MT_processed/157.corrected.mol	{[][$]CC1=CC=C(C=C1)C[$][]}	{[][>]Cc(cc1)ccc1C[<][]}
PolymerLit-MT_processed/158.corrected.mol	{[][$]CC(CC1CCCC1)[$][]}	{[][>]CC(CC(CC2)CC2)[<],[>]C(CC(CC1)CC1)C[<][]}
PolymerLit-MT_processed/159.corrected.mol	{[][$]CC(CC1=CC=CC=C1)[$][]}	{[][>]CC(Cc(cc2)ccc2)[<],[>]C(Cc(cc1)ccc1)C[<][]}
PolymerLit-MT_processed/16.corrected.mol	{[][<]C1=CC=C(C=C1)NC1=CC=C(C=C1)N[>][]}	{[][>]c(cc2)ccc2Nc(cc1)ccc1N[<][]}
PolymerLit-MT_processed/160.corrected.mol	{[][<]NCCCCCC(=O)[>][]}	{[][>]NCCCCCC(=O)[<][]}
PolymerLit-MT_processed/161.corrected.mol	{[][<]OCCOC(=O)C1=C2C(C=CC=C2)=C(C=C1)C(=O)[>][]}	{[][>]OCCOC(=O)c(c(c1cc2)cc2)ccc1C(=O)[<][]}
PolymerLit-MT_processed/162.corrected.mol	{[][$]CC(Cl)(C(=O)OCCC)[$][]}	{[][>]CC(Cl)(C(OCCC)=O)[<],[>]C(Cl)(C(OCCC)=O)C[<][]}
PolymerLit-MT_processed/163.corrected.mol	{[][<]OCCOC(=O)C1=CC=CC2=C1C=CC=C2C(=O)[>][]}	{[][>]OCCOC(=O)c(ccc1)c(cc2)c1c(c2)C(=O)[<][]}
PolymerLit-MT_processed/164.corrected.mol	{[][$]CC1C(OC(CC)O1)C[$],[$]CC1CC(OC(CC)O1)[$][]}	{[][>]CC(OC1CC)C(O1)C[<],[>]CC(OC(CC)O2)CC2[<],[>]C(OC(CC)O4)CC4C[<][]}
PolymerLit-MT_processed/165.corrected.mol	{[][$]CC(CC1CCCCC1)[$][]}	{[][>]CC(CC(CC2)CCC2)[<],[>]C(CC(CC1)CCC1)C[<][]}
PolymerLit-MT_processed/166.corrected.mol	{[][$]CC(C1CCCC1)[$][]}	{[][>]CC(C(CC2)CC2)[<],[>]C(C(CC1)CC1)C[<][]}
PolymerLit-MT_processed/167.corrected.mol	{[][$]CC(C)(C(=O)OCC(O)C)[$][]}	{[][>]CC(C)(C(OCC(C)O)=O)[<],[>]C(C)(C(OCC(C)O)=O)C[<][]}
PolymerLit-MT_processed/168.corrected.mol	{[][$]CC(C1=CC=C(COC)C=C1)[$][]}	{[][>]CC(c(cc2)ccc2COC)[<],[>]C(c(cc1)ccc1COC)C[<][]}
PolymerLit-MT_processed/169.corrected.mol	{[][$]CC1=CC=C(C=C1Cl)C[$][]}	{[][>]Cc(cc1)cc(Cl)c1C[<],[>]Cc(c(c2)Cl)ccc2C[<][]}
PolymerLit-MT_processed/17.corrected.mol	O{[>][<]C(=O)CC(C)O[>],[<]C(=O)CC(CC)O[>][<]}[H]	[H]O{[<][>]C(C)CC(=O)O[<],[>]C(CC)CC(=O)O[<][>]}[H]
PolymerLit-MT_processed/170.corrected.mol	{[][$]CC1=CC=C(C=C1Br)C[$][]}	{[][>]Cc(cc1)cc(Br)c1C[<],[>]Cc(c(c2)Br)ccc2C[<][]}
PolymerLit-MT_processed/171.corrected.mol	{[][<]OCCOC1=CC=C(C=C1)C(=O)[>][]}	{[][>]OCCOc(cc1)ccc1C(=O)[<][]}
PolymerLit-MT_processed/172.corrected.mol	{[][<]OC1=CC=C(C=C1)[>][]}	{[][>]c(cc1)ccc1O[<][]}
PolymerLit-MT_processed/173.corrected.mol	{[][$]CC1=CC=C(C=C1C#N)C[$][]}	{[][>]Cc(cc1)cc(C#N)c1C[<],[>]Cc(c(c2)C#N)ccc2C[<][]}
PolymerLit-MT_processed/174.corrected.mol	{[][$]C(F)(F)C1=CC=C(C=C1)C(F)(F)[$][]}	{[][>]C(F)(F)c(cc1)ccc1C(F)(F)[<][]}
PolymerLit-MT_processed/175.corrected.mol	{[][<]NCC1=CC=CC(=C1)CNC(=O)CCCCC(=O)[>][]}	{[][>]NCc(ccc1)cc1CNC(=O)CCCCC(=O)[<][]}
PolymerLit-MT_processed/176.corrected.mol	{[][<]OC1=CC=C(C=C1)SC1=CC=C(C=C1)OC(=O)[>][]}	{[][>]Oc(cc2)ccc2Sc(cc1)ccc1OC(=O)[<][]}
PolymerLit-MT_processed/177.corrected.mol	{[][<]OC1=C(C)C=C(C=C1)C(C)(CC)C1=CC(C)=C(C=C1)OC(=O)[>][]}	{[][>]Oc(c(c2)C)ccc2C(C)(CC)c(cc1)cc(C)c1OC(=O)[<][]}
PolymerLit-MT_processed/178.corrected.mol	{[][$]CC(C)(C(=O)OC1=CC=CC=C1)[$][]}	{[][>]CC(C(=O)Oc(cc2)ccc2)(C)[<],[>]C(C(=O)Oc(cc1)ccc1)(C)C[<][]}
PolymerLit-MT_processed/179.corrected.mol	{[][<]OCCOC(=O)C1=CC=C2C(=C1)C=CC(=C2)C(=O)[>][]}	{[][>]OCCOC(=O)c(cc1)cc(c1c1)ccc1C(=O)[<][]}
PolymerLit-MT_processed/18.corrected.mol	{[][<]CCCCCC(=O)O[>][]}	{[][>]OC(=O)CCCCC[<][]}
PolymerLit-MT_processed/180.corrected.mol	{[][$]CC(C1=CC=C(C2=CC=CC=C2)C=C1)[$][]}	{[][>]CC(c(cc2)ccc2-c(cc2)ccc2)[<],[>]C(c(cc1)ccc1-c(cc1)ccc1)C[<][]}
PolymerLit-MT_processed/181.corrected.mol	{[][$]CC(C1=CC=NC=C1)[$][]}	{[][>]CC(c(cc2)ccn2)[<],[>]C(c(cc1)ccn1)C[<][]}
PolymerLit-MT_processed/182.corrected.mol	{[][$]CC(N1CCCC1=O)[$][]}	{[][>]CC(N(CC2)C(C2)=O)[<],[>]C(N(CC1)C(C1)=O)C[<][]}
PolymerLit-MT_processed/183.corrected.mol	{[][$]CC(N1C2=C(C=3C1=CC=CC3)C=CC=C2)[$][]}	{[][>]CC(n(c(ccc3)c4c3)c(c4c3)ccc3)[<],[>]C(n(c(ccc1)c2c1)c(c2c1)ccc1)C[<][]}
PolymerLit-MT_processed/184.corrected.mol	{[][$]CC(C1=CC=C2C(C=CC=C2)=C1)[$][]}	{[][>]CC(c(cc3)cc(ccc4)c3c4)[<],[>]C(c(cc1)cc(ccc2)c1c2)C[<][]}
PolymerLit-MT_processed/185.corrected.mol	{[][$]CC(C#N)(C(=O)OC)[$][]}	{[][>]CC(C#N)(C(OC)=O)[<],[>]C(C#N)(C(OC)=O)C[<][]}
PolymerLit-MT_processed/186.corrected.mol	{[][<]OC1=CC=C(C=C1)C1(CCCC1)C1=CC=C(C=C1)OC(=O)[>][]}	{[][>]Oc(cc4)ccc4C(CC2)(CC2)c(cc1)ccc1OC(=O)[<][]}
PolymerLit-MT_processed/187.corrected.mol	{[][<]OC1=CC=C(C=C1)C1(CCCCC1)C1=CC=C(C=C1)OC(=O)[>][]}	{[][>]Oc(cc4)ccc4C(CCC2)(CC2)c(cc1)ccc1OC(=O)[<][]}
PolymerLit-MT_processed/188.corrected.mol	{[][<]OC1=CC=C(C=C1)C(CC1=CC=CC=C1)C1=CC=C(C=C1)OC(=O)[>][]}	{[][>]Oc(cc4)ccc4C(Cc(cc2)ccc2)c(cc1)ccc1OC(=O)[<][]}
PolymerLit-MT_processed/189.corrected.mol	{[][<]OC1=CC=C(C=C1)C(C)(C)C1=CC=C(C=C1)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)[>][]}	{[][>]c(cc8)ccc8S(=O)(=O)c(cc4)ccc4Oc(cc2)ccc2C(C)(C)c(cc1)ccc1O[<][]}
PolymerLit-MT_processed/19.corrected.mol	{[][<]C(=O)OCCCCCCO[>][]}	{[][>]OCCCCCCOC(=O)[<][]}
PolymerLit-MT_processed/190.corrected.mol	{[][<]OC1=CC=C(C=C1)C(C)(C)C1=CC(Cl)=C(C(Cl)=C1)OC(=O)[>][]}	{[][>]Oc(cc2)ccc2C(C)(C)c(cc1Cl)cc(Cl)c1OC(=O)[<][]}
PolymerLit-MT_processed/191.corrected.mol	{[][<]OC1=C(C)C=C(C=C1C)C(C)(C)C1=CC(C)=C(C(C)=C1)OC(=O)[>][]}	{[][>]Oc(c(c2)C)c(C)cc2C(C)(C)c(cc1C)cc(C)c1OC(=O)[<][]}
PolymerLit-MT_processed/192.corrected.mol	{[][<]OC1=C(C2=CC=CC=C2)C=C(C=C1C1=CC=CC=C1)[>][]}	{[][>]c(cc1-c(cc2)ccc2)cc(-c(cc2)ccc2)c1O[<][]}
PolymerLit-MT_processed/193.corrected.mol	{[][<]C(=O)C1=CC=C(C=C1)C1(C2=C(C=CC=C2)C(=O)O1)C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C1=CC=C(C=C1)O[>][]}	{[][>]Oc(cc%16)ccc%16c(cc8)ccc8OC(=O)c(cc4)ccc4C(OC2=O)(c(c2c2)ccc2)c(cc1)ccc1C(=O)[<][]}
PolymerLit-MT_processed/194.corrected.mol	{[][<]C=1C=CC(=CC1)C(=O)C1=CC=C(C=C1)N1C(=O)C2=C(C1=O)C=C1C(=C2)C(=O)N(C1=O)[>][]}	{[][>]n(c(c4cc5c6=O)=O)c(=O)c4cc5c(=O)n6c(cc2)ccc2C(=O)c(cc1)ccc1[<][]}
PolymerLit-MT_processed/195.corrected.mol	{[][<]C1=CC=C(C=C1)C1=NC2=C(N=C1)C=CC(=C2)C1=CC2=C(C=C1)N=CC(=N2)[>][]}	{[][>]c(cnc4cc5)nc4cc5c(cc2)cc(c2n2)nc(c2)c(cc1)ccc1[<][]}
PolymerLit-MT_processed/196.corrected.mol	{[][<]OC1=CC=C(C=C1)C1(CC2CCC1C2)C1=CC=C(C=C1)OC(=O)[>][]}	{[][>]Oc(cc5)ccc5C(C(C2)C3)(CC2C3)c(cc1)ccc1OC(=O)[<][]}
PolymerLit-MT_processed/197.corrected.mol	{[][<]OC1=C(C)C=C(C=C1C)[>][]}	{[][>]c(cc1C)cc(C)c1O[<][]}
PolymerLit-MT_processed/198.corrected.mol	{[][$]C(F)(F)C(F)(C1=C(F)C(F)=C(F)C(F)=C1F)[$][]}	{[][>]C(F)(F)C(F)(c(c(F)c2F)c(c(c2F)F)F)[<],[>]C(F)(c(c(F)c1F)c(c(c1F)F)F)C(F)(F)[<][]}
PolymerLit-MT_processed/199.corrected.mol	{[][<]OC1=CC=C(C=C1)C(C(Cl)(F)F)(C(Cl)(F)F)C1=CC=C(C=C1)OC(=O)[>][]}	{[][>]Oc(cc2)ccc2C(C(F)(F)Cl)(C(F)(F)Cl)c(cc1)ccc1OC(=O)[<][]}
PolymerLit-MT_processed/2.corrected.mol	{[][$]CC(C)[$][]}	{[][>]CC(C)[<],[>]C(C)C[<][]}
PolymerLit-MT_processed/20.corrected.mol	{[][<]C(=O)CCC(=O)OCCCCO[>][]}	{[][>]OCCCCOC(=O)CCC(=O)[<][]}
PolymerLit-MT_processed/200.corrected.mol	{[][$]CC(C1=CC=CC=C1CO)[$][]}	{[][>]CC(c(ccc2)c(c2)CO)[<],[>]C(c(ccc1)c(c1)CO)C[<][]}
PolymerLit-MT_processed/201.corrected.mol	{[][<]OCC[>][<]}OCC(CO{[>][<]CCO[>][<]})(CO{[>][<]CCO[>][<]})CO{[>][<]CCO[>][]}	{[][<]OCC[>][<]}OCC(CO{[>][<]CCO[>][<]})(CO{[>][<]CCO[>][<]})CO{[>][<]CCO[>][]}
PolymerLit-MT_processed/202.corrected.mol	C1CCCCCC{[$][$]=C/CCCCCC/C=[$][$]}C1	{[][>]CCCCCCCC[<][]}
PolymerLit-MT_processed/203.corrected.mol	[H]{[>][<]NC(CC1=CC=C(O)C=C1)C(=O)[>],[<]NC(CCCCN)C(=O)[>],[<]NC(CC1=CC(O)=C(O)C=C1)C(=O)[>][<]}OCC	[H]{[<][>]NC(CCCCN)C(=O)[<],[>]NC(Cc(cc1)ccc1O)C(=O)[<],[>]NC(Cc(cc2O)ccc2O)C(=O)[<][>]}OCC[H]
PolymerLit-MT_processed/204.corrected.mol	C1CCCCCCC{[$][$]C2C(CCCCC{[$][$]C3C(CCCCCC3)[$][$]}CCCC2)[$][$]}CCCCC1	C1CCCCCCC{[$][$]C2C(CCCCC{[$][$]C3C(CCCCCC3)[$][$]}CCCC2)[$][$]}CCCCC1
PolymerLit-MT_processed/205.corrected.mol	{[][$]=C/C=C\C=C/C=C\C=C/C=C\C=C/C=C\C=[$][]}	{[][$]=C/C=C\C=C/C=C\C=C/C=C\C=C/C=C\C=[$][]}
PolymerLit-MT_processed/206.corrected.mol	failed to obtain BigSMILES	failed to obtain BigSMILES
PolymerLit-MT_processed/207.corrected.mol	[H]{[>][<][C@@]1(O)OC(CO)[C@](C([C@]1O)O)O[C@]1(O)[C@](O)C(O)[C@](C(O1)CO)O[>][]}	[H]{[<][>]C(O)(OC(CO)C2OC(O)(OC(CO)C1O[<])C(O)C1O)C(O)C2O[]}
PolymerLit-MT_processed/208.corrected.mol	{[][$]CC(C#N)[$],[$]C/C=C/C[$],[$]CC(C1=CC=CC=C1)[$][]}	{[][>]CC(C#N)[<],[>]C(C#N)C[<],[>]C/C=C/C[<],[>]CC(c(cc1)ccc1)[<],[>]C(c(cc2)ccc2)C[<][]}
PolymerLit-MT_processed/209.corrected.mol	{[][$]CC(C#N)[$],[$]CC(C1=CC=CC=C1)[$],[$]CC(C(OC)=O)[$][]}	{[][>]CC(C#N)[<],[>]C(C#N)C[<],[>]CC(C(OC)=O)[<],[>]C(C(OC)=O)C[<],[>]CC(c(cc1)ccc1)[<],[>]C(c(cc2)ccc2)C[<][]}
PolymerLit-MT_processed/21.corrected.mol	{[][<]C(C)C(=O)O[>][]}	{[][>]OC(=O)C(C)[<][]}
PolymerLit-MT_processed/210.corrected.mol	{[][<]N1C(=O)C2=C(C1=O)C=CC(=C2)OC1=CC=C(C=C1)C(C)(C)C1=CC=C(C=C1)OC1=CC=C2C(=C1)C(=O)N(C2=O)C1=CC=CC(=C1)[>][]}	{[][>]c(ccc%12)cc%12N(C(c%12cc%13)=O)C(=O)c%12cc%13Oc(cc6)ccc6C(C)(C)c(cc3)ccc3Oc(ccc1C2=O)cc1C(=O)N2[<][]}
PolymerLit-MT_processed/211.corrected.mol	CCC(CCC){[$][$]CC({[>][<]OCC[>][<]}O)[$][$]}[H]	[H]{[<][>]C(O{[<][>]CCO[<][>]}[H])C[<],[>]CC(O{[<][>]CCO[<][>]}{[<][>]CCO[<][>]}[H])[<][>]}C(CC)CCC[H]
PolymerLit-MT_processed/212.corrected.mol	{[][$]CC(C(NC(C)C)=O)[$][]}	{[][>]CC(C(NC(C)C)=O)[<],[>]C(C(NC(C)C)=O)C[<][]}
PolymerLit-MT_processed/213.corrected.mol	{[][$]CC(C)(C(NC(C)C)=O)[$],[$]C(C(NC(C)C)=O)C[$][]}	{[][>]CC(C(NC(C)C)=O)[<],[>]C(C(NC(C)C)=O)C[<],[>]CC(C)(C(NC(C)C)=O)[<],[>]C(C)(C(NC(C)C)=O)C[<][]}
